date,Open,High,Low,Close,Volume,TimeDelta,DT
2018-09-21 11:11:00,292.61,292.62,292.58,292.62,76013.0,45000.0,2018-09-21 11:11:00
2018-09-21 11:12:00,292.62,292.68,292.615,292.62,145786.0,45000.0,2018-09-21 11:12:00
2018-09-21 11:13:00,292.62,292.64,292.6,292.6,175114.0,45000.0,2018-09-21 11:13:00
2018-09-21 11:14:00,292.5899,292.59,292.57,292.57,565489.0,45000.0,2018-09-21 11:14:00
2018-09-21 11:15:00,292.57,292.6,292.57,292.59,75126.0,45000.0,2018-09-21 11:15:00
2018-09-21 11:16:00,292.61,292.64,292.61,292.64,32882.0,45000.0,2018-09-21 11:16:00
2018-09-21 11:17:00,292.67,292.675,292.61,292.65,54037.0,45000.0,2018-09-21 11:17:00
2018-09-21 11:18:00,292.67,292.675,292.64,292.65,40459.0,45000.0,2018-09-21 11:18:00
2018-09-21 11:19:00,292.66,292.67,292.65,292.65,42671.0,45000.0,2018-09-21 11:19:00
2018-09-21 11:20:00,292.645,292.65,292.61,292.63,73536.0,45000.0,2018-09-21 11:20:00
2018-09-21 11:21:00,292.625,292.64,292.6,292.62,68458.0,45000.0,2018-09-21 11:21:00
2018-09-21 11:22:00,292.655,292.655,292.63,292.631,25015.0,45000.0,2018-09-21 11:22:00
2018-09-21 11:23:00,292.64,292.68,292.63,292.635,83370.0,45000.0,2018-09-21 11:23:00
2018-09-21 11:24:00,292.645,292.7,292.635,292.7,114830.0,45000.0,2018-09-21 11:24:00
2018-09-21 11:25:00,292.7099,292.715,292.6575,292.6575,79719.0,45000.0,2018-09-21 11:25:00
2018-09-21 11:26:00,292.68,292.68,292.64,292.67,144674.0,45000.0,2018-09-21 11:26:00
2018-09-21 11:27:00,292.67,292.675,292.655,292.67,69728.0,45000.0,2018-09-21 11:27:00
2018-09-21 11:28:00,292.69,292.72,292.68,292.72,48344.0,45000.0,2018-09-21 11:28:00
2018-09-21 11:29:00,292.73,292.73,292.695,292.73,50307.0,45000.0,2018-09-21 11:29:00
2018-09-21 11:30:00,292.74,292.76,292.705,292.7075,60272.0,45000.0,2018-09-21 11:30:00
2018-09-21 11:31:00,292.71,292.71,292.66,292.685,104676.0,45000.0,2018-09-21 11:31:00
2018-09-21 11:32:00,292.7,292.71,292.68,292.68,56435.0,45000.0,2018-09-21 11:32:00
2018-09-21 11:33:00,292.71,292.71,292.68,292.71,69315.0,45000.0,2018-09-21 11:33:00
2018-09-21 11:34:00,292.7,292.73,292.69,292.73,73224.0,45000.0,2018-09-21 11:34:00
2018-09-21 11:35:00,292.72,292.72,292.685,292.69,67234.0,45000.0,2018-09-21 11:35:00
2018-09-21 11:36:00,292.69,292.69,292.635,292.64,39163.0,45000.0,2018-09-21 11:36:00
2018-09-21 11:37:00,292.66,292.7,292.66,292.69,91188.0,45000.0,2018-09-21 11:37:00
2018-09-21 11:38:00,292.68,292.695,292.65,292.65,42225.0,45000.0,2018-09-21 11:38:00
2018-09-21 11:39:00,292.63,292.7,292.63,292.68,70769.0,45000.0,2018-09-21 11:39:00
2018-09-21 11:40:00,292.69,292.695,292.67,292.69,48710.0,45000.0,2018-09-21 11:40:00
2018-09-21 11:41:00,292.7,292.705,292.67,292.68,82435.0,45000.0,2018-09-21 11:41:00
2018-09-21 11:42:00,292.689,292.69,292.62,292.62,58177.0,45000.0,2018-09-21 11:42:00
2018-09-21 11:43:00,292.62,292.67,292.62,292.67,80383.0,45000.0,2018-09-21 11:43:00
2018-09-21 11:44:00,292.68,292.71,292.68,292.69,62747.0,45000.0,2018-09-21 11:44:00
2018-09-21 11:45:00,292.68,292.72,292.68,292.7,69621.0,45000.0,2018-09-21 11:45:00
2018-09-21 11:46:00,292.695,292.775,292.695,292.77,143107.0,45000.0,2018-09-21 11:46:00
2018-09-21 11:47:00,292.77,292.775,292.72,292.73,65344.0,45000.0,2018-09-21 11:47:00
2018-09-21 11:48:00,292.74,292.83,292.74,292.82,117243.0,45000.0,2018-09-21 11:48:00
2018-09-21 11:49:00,292.82,292.9,292.82,292.825,84750.0,45000.0,2018-09-21 11:49:00
2018-09-21 11:50:00,292.815,292.82,292.73,292.7425,70362.0,45000.0,2018-09-21 11:50:00
2018-09-21 11:51:00,292.75,292.77,292.72,292.77,48990.0,45000.0,2018-09-21 11:51:00
2018-09-21 11:52:00,292.7699,292.8,292.7699,292.8,45754.0,45000.0,2018-09-21 11:52:00
2018-09-21 11:53:00,292.79,292.81,292.77,292.81,43591.0,45000.0,2018-09-21 11:53:00
2018-09-21 11:54:00,292.8,292.85,292.8,292.85,23797.0,45000.0,2018-09-21 11:54:00
2018-09-21 11:55:00,292.85,292.85,292.78,292.79,92210.0,45000.0,2018-09-21 11:55:00
2018-09-21 11:56:00,292.8,292.81,292.79,292.79,41855.0,45000.0,2018-09-21 11:56:00
2018-09-21 11:57:00,292.795,292.82,292.795,292.81,38774.0,45000.0,2018-09-21 11:57:00
2018-09-21 11:58:00,292.8,292.85,292.77,292.8,63313.0,45000.0,2018-09-21 11:58:00
2018-09-21 11:59:00,292.7975,292.85,292.79,292.85,46897.0,45000.0,2018-09-21 11:59:00
2018-09-21 12:00:00,292.835,292.88,292.835,292.88,53867.0,45000.0,2018-09-21 12:00:00
2018-09-21 12:01:00,292.87,292.89,292.86,292.87,52958.0,45000.0,2018-09-21 12:01:00
2018-09-21 12:02:00,292.87,292.87,292.815,292.815,87251.0,45000.0,2018-09-21 12:02:00
2018-09-21 12:03:00,292.82,292.86,292.82,292.83,91248.0,45000.0,2018-09-21 12:03:00
2018-09-21 12:04:00,292.82,292.85,292.82,292.84,94851.0,45000.0,2018-09-21 12:04:00
2018-09-21 12:05:00,292.84,292.88,292.84,292.86,101727.0,45000.0,2018-09-21 12:05:00
2018-09-21 12:06:00,292.85,292.85,292.8,292.825,91440.0,45000.0,2018-09-21 12:06:00
2018-09-21 12:07:00,292.825,292.85,292.79,292.85,57779.0,45000.0,2018-09-21 12:07:00
